"SUBS_MSISDN","EVENT_DT","CUST_REV"
"2i0a4g6e0a0a8c1j7d8c",2015-09-02,2.16
"2i0a4g6e0a0a8c1j7d8c",2015-09-03,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-04,6.2
"2i0a4g6e0a0a8c1j7d8c",2015-09-05,85.3057
"2i0a4g6e0a0a8c1j7d8c",2015-09-06,0.28
"2i0a4g6e0a0a8c1j7d8c",2015-09-07,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-08,0
"2i0a4g6e0a0a8c1j7d8c",2015-09-09,10.15
"2i0a4g6e0a0a8c1j7d8c",2015-09-10,4.2
"2i0a4g6e0a0a8c1j7d8c",2015-09-11,6.18
"2i0a4g6e0a0a8c1j7d8c",2015-09-12,7.66
"2i0a4g6e0a0a8c1j7d8c",2015-09-13,0.75
"2i0a4g6e0a0a8c1j7d8c",2015-09-14,0.79
"2i0a4g6e0a0a8c1j7d8c",2015-09-15,2.34
"2i0a4g6e0a0a8c1j7d8c",2015-09-16,4.13
"2i0a4g6e0a0a8c1j7d8c",2015-09-17,1.22
"2i0a0a9b1j7d7d7d3h4g",2015-09-02,43.69
"2i0a0a9b1j7d7d7d3h4g",2015-09-03,8.7049
"2i0a0a9b1j4g0a4g0a0a",2015-09-02,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-02,1.935
"2i0a4g6e0a0a3h6e3h4g",2015-09-02,1.26
"2i0a0a9b1j7d7d7d3h4g",2015-09-04,1.195
"2i0a0a9b0a9b0a8c2i7d",2015-09-03,2.895
"2i0a0a9b1j4g0a4g0a0a",2015-09-03,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-05,1.075
"2i0a4g6e0a0a3h6e3h4g",2015-09-03,3.256
"2i0a0a9b1j7d7d7d3h4g",2015-09-06,5.11
"2i0a0a9b0a9b0a8c2i7d",2015-09-04,32.08
"2i0a0a9b1j4g0a4g0a0a",2015-09-04,8.082
"2i0a4g6e0a0a3h6e3h4g",2015-09-04,8.716
"2i0a0a9b1j7d7d7d3h4g",2015-09-07,20.3099
"2i0a0a9b0a9b0a8c2i7d",2015-09-05,14.3549
"2i0a0a9b1j4g0a4g0a0a",2015-09-05,0.38
"2i0a4g6e0a0a3h6e3h4g",2015-09-05,1.116
"2i0a0a9b0a9b0a8c2i7d",2015-09-06,14.505
"2i0a0a9b1j4g0a4g0a0a",2015-09-06,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-06,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-08,21
"2i0a0a9b1j7d7d7d3h4g",2015-09-09,10.5399
"2i0a0a9b1j4g0a4g0a0a",2015-09-07,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-07,19.8649
"2i0a4g6e0a0a3h6e3h4g",2015-09-07,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-10,27.225
"2i0a0a9b0a9b0a8c2i7d",2015-09-08,5.6649
"2i0a0a9b1j4g0a4g0a0a",2015-09-08,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-08,-13.8006
"2i0a0a9b0a9b0a8c2i7d",2015-09-09,24.32
"2i0a4g6e0a0a3h6e3h4g",2015-09-09,2.604
"2i0a0a9b1j7d7d7d3h4g",2015-09-11,22.3048
"2i0a0a9b1j4g0a4g0a0a",2015-09-09,NA
"2i0a0a9b0a9b0a8c2i7d",2015-09-10,10.025
"2i0a0a9b1j4g0a4g0a0a",2015-09-10,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-12,27.2049
"2i0a4g6e0a0a3h6e3h4g",2015-09-10,6.924
"2i0a0a9b1j7d7d7d3h4g",2015-09-13,28.005
"2i0a0a9b0a9b0a8c2i7d",2015-09-11,26.1708
"2i0a4g6e0a0a3h6e3h4g",2015-09-11,7.776
"2i0a0a9b1j4g0a4g0a0a",2015-09-11,0
"2i0a0a9b0a9b0a8c2i7d",2015-09-12,4.404
"2i0a4g6e0a0a3h6e3h4g",2015-09-12,3.696
"2i0a0a9b1j7d7d7d3h4g",2015-09-14,13.6048
"2i0a0a9b0a9b0a8c2i7d",2015-09-13,0
"2i0a4g6e0a0a3h6e3h4g",2015-09-13,2.14
"2i0a0a9b1j4g0a4g0a0a",2015-09-12,NA
"2i0a0a9b1j4g0a4g0a0a",2015-09-13,0
"2i0a0a9b1j7d7d7d3h4g",2015-09-15,7.135
"2i0a0a9b1j7d7d7d3h4g",2015-09-16,13.605
"2i0a4g6e0a0a3h6e3h4g",2015-09-14,7.164
"2i0a0a9b0a9b0a8c2i7d",2015-09-14,14.3358
"2i0a0a9b1j7d7d7d3h4g",2015-09-17,5.69
"2i0a0a9b1j4g0a4g0a0a",2015-09-14,7.7899
"2i0a0a9b0a9b0a8c2i7d",2015-09-15,3.15
"2i0a4g6e0a0a3h6e3h4g",2015-09-15,12.192
"2i0a0a9b1j4g0a4g0a0a",2015-09-15,18.52
"2i0a0a9b0a9b0a8c2i7d",2015-09-16,33.8708
"2i0a4g6e0a0a3h6e3h4g",2015-09-16,0.852
"2i0a0a9b1j4g0a4g0a0a",2015-09-16,3.16
"2i0a0a9b1j4g0a4g0a0a",2015-09-17,0.54
"2i0a4g6e0a0a3h6e3h4g",2015-09-17,48.16
