Category,States/UTs,Total,Surfaced
States,Andhra Pradesh,168516,93573
States,Arunachal Pradesh,5262,5262
States,Assam,222087,27622
States,Bihar,167579,94421
States,Chhattisgarh,30295,30295
States,Goa,5851,3221
States,Gujarat,53288,50621
States,Haryana,4622,4622
States,Himachal Pradesh,15145,14714
States,Jammu & Kashmir,13451,12404
States,Jharkhand,17097,17097
States,Karnataka,163957,90260
States,Kerala,124864.349,79354
States,Madhya Pradesh,117722,75718
States,Maharashtra,262371,193806
States,Manipur,7635,3919
States,Meghalaya,1793,1194
States,Mizoram,2561,2561
States,Nagaland,23783,10930
States,Odisha,213446,213446
States,Punjab,62900,62900
States,Rajasthan,103441,67313
States,Sikkim,3343,3343
States,Tamil Nadu,144583,107803
States,Tripura,18165,8976
States,Uttarakhand,6933,6933
States,Uttar Pradesh,113531,79446
States,West Bengal,184088,38156
Union Territories,Andaman & Nicobar Islands,111,111
Union Territories,Chandigarh,1219,967
All India,All India,2259639.349,1400988
